block_id,date,corridor_id,section_id,start_minute,end_minute,duration_minutes,track_available,block_type,night_preference,max_simultaneous_tasks
BLK-000001,2026-09-03,COR-001,SEC-0001,0,120,120,Yes,Routine,Yes,2
BLK-000002,2026-09-03,COR-001,SEC-0001,120,240,120,No,Planned,Yes,2
BLK-000003,2026-09-03,COR-001,SEC-0001,240,360,120,Yes,Planned,Yes,3
BLK-000004,2026-09-03,COR-001,SEC-0001,360,480,120,Yes,Routine,No,3
BLK-000005,2026-09-03,COR-001,SEC-0001,480,600,120,Yes,Planned,No,1
BLK-000006,2026-09-03,COR-001,SEC-0001,600,720,120,Yes,Planned,No,3
BLK-000007,2026-09-03,COR-001,SEC-0001,720,840,120,Yes,Planned,No,3
BLK-000008,2026-09-03,COR-001,SEC-0001,840,960,120,Yes,Planned,No,3
BLK-000009,2026-09-03,COR-001,SEC-0001,960,1080,120,Yes,Routine,No,1
BLK-000010,2026-09-03,COR-001,SEC-0001,1080,1200,120,Yes,Planned,No,1
BLK-000011,2026-09-03,COR-001,SEC-0001,1200,1320,120,Yes,Planned,Yes,1
BLK-000012,2026-09-03,COR-001,SEC-0001,1320,1440,120,Yes,Emergency Reserve,Yes,2
BLK-000013,2026-09-03,COR-001,SEC-0002,0,120,120,Yes,Planned,Yes,1
BLK-000014,2026-09-03,COR-001,SEC-0002,120,240,120,Yes,Planned,Yes,3
BLK-000015,2026-09-03,COR-001,SEC-0002,240,360,120,Yes,Routine,Yes,2
BLK-000016,2026-09-03,COR-001,SEC-0002,360,480,120,Yes,Routine,No,2
BLK-000017,2026-09-03,COR-001,SEC-0002,480,600,120,Yes,Emergency Reserve,No,2
BLK-000018,2026-09-03,COR-001,SEC-0002,600,720,120,No,Planned,No,3
BLK-000019,2026-09-03,COR-001,SEC-0002,720,840,120,No,Planned,No,1
BLK-000020,2026-09-03,COR-001,SEC-0002,840,960,120,Yes,Planned,No,1
BLK-000021,2026-09-03,COR-001,SEC-0002,960,1080,120,Yes,Emergency Reserve,No,2
BLK-000022,2026-09-03,COR-001,SEC-0002,1080,1200,120,No,Routine,No,3
BLK-000023,2026-09-03,COR-001,SEC-0002,1200,1320,120,Yes,Planned,Yes,1
BLK-000024,2026-09-03,COR-001,SEC-0002,1320,1440,120,Yes,Planned,Yes,3
BLK-000025,2026-09-03,COR-001,SEC-0003,0,120,120,Yes,Planned,Yes,3
BLK-000026,2026-09-03,COR-001,SEC-0003,120,240,120,Yes,Planned,Yes,1
BLK-000027,2026-09-03,COR-001,SEC-0003,240,360,120,Yes,Emergency Reserve,Yes,2
BLK-000028,2026-09-03,COR-001,SEC-0003,360,480,120,Yes,Planned,No,3
BLK-000029,2026-09-03,COR-001,SEC-0003,480,600,120,Yes,Planned,No,3
BLK-000030,2026-09-03,COR-001,SEC-0003,600,720,120,Yes,Emergency Reserve,No,2
BLK-000031,2026-09-03,COR-001,SEC-0003,720,840,120,Yes,Planned,No,2
BLK-000032,2026-09-03,COR-001,SEC-0003,840,960,120,No,Emergency Reserve,No,2
BLK-000033,2026-09-03,COR-001,SEC-0003,960,1080,120,Yes,Routine,No,1
BLK-000034,2026-09-03,COR-001,SEC-0003,1080,1200,120,Yes,Planned,No,1
BLK-000035,2026-09-03,COR-001,SEC-0003,1200,1320,120,Yes,Planned,Yes,3
BLK-000036,2026-09-03,COR-001,SEC-0003,1320,1440,120,Yes,Emergency Reserve,Yes,2
BLK-000037,2026-09-03,COR-001,SEC-0004,0,120,120,Yes,Emergency Reserve,Yes,2
BLK-000038,2026-09-03,COR-001,SEC-0004,120,240,120,Yes,Planned,Yes,2
BLK-000039,2026-09-03,COR-001,SEC-0004,240,360,120,Yes,Planned,Yes,1
BLK-000040,2026-09-03,COR-001,SEC-0004,360,480,120,Yes,Routine,No,2
BLK-000041,2026-09-03,COR-001,SEC-0004,480,600,120,Yes,Planned,No,2
BLK-000042,2026-09-03,COR-001,SEC-0004,600,720,120,Yes,Planned,No,1
BLK-000043,2026-09-03,COR-001,SEC-0004,720,840,120,Yes,Planned,No,2
BLK-000044,2026-09-03,COR-001,SEC-0004,840,960,120,Yes,Planned,No,2
BLK-000045,2026-09-03,COR-001,SEC-0004,960,1080,120,Yes,Routine,No,1
BLK-000046,2026-09-03,COR-001,SEC-0004,1080,1200,120,Yes,Emergency Reserve,No,2
BLK-000047,2026-09-03,COR-001,SEC-0004,1200,1320,120,Yes,Planned,Yes,2
BLK-000048,2026-09-03,COR-001,SEC-0004,1320,1440,120,Yes,Planned,Yes,2
BLK-000049,2026-09-03,COR-001,SEC-0005,0,120,120,Yes,Planned,Yes,1
BLK-000050,2026-09-03,COR-001,SEC-0005,120,240,120,Yes,Routine,Yes,1
BLK-000051,2026-09-03,COR-001,SEC-0005,240,360,120,Yes,Planned,Yes,3
BLK-000052,2026-09-03,COR-001,SEC-0005,360,480,120,Yes,Planned,No,2
BLK-000053,2026-09-03,COR-001,SEC-0005,480,600,120,Yes,Planned,No,1
BLK-000054,2026-09-03,COR-001,SEC-0005,600,720,120,No,Planned,No,3
BLK-000055,2026-09-03,COR-001,SEC-0005,720,840,120,Yes,Emergency Reserve,No,1
BLK-000056,2026-09-03,COR-001,SEC-0005,840,960,120,Yes,Planned,No,3
BLK-000057,2026-09-03,COR-001,SEC-0005,960,1080,120,Yes,Planned,No,3
BLK-000058,2026-09-03,COR-001,SEC-0005,1080,1200,120,Yes,Planned,No,2
BLK-000059,2026-09-03,COR-001,SEC-0005,1200,1320,120,Yes,Routine,Yes,2
BLK-000060,2026-09-03,COR-001,SEC-0005,1320,1440,120,Yes,Planned,Yes,2
BLK-000061,2026-09-03,COR-001,SEC-0006,0,120,120,Yes,Planned,Yes,2
BLK-000062,2026-09-03,COR-001,SEC-0006,120,240,120,Yes,Planned,Yes,1
BLK-000063,2026-09-03,COR-001,SEC-0006,240,360,120,Yes,Planned,Yes,3
BLK-000064,2026-09-03,COR-001,SEC-0006,360,480,120,Yes,Planned,No,2
BLK-000065,2026-09-03,COR-001,SEC-0006,480,600,120,Yes,Planned,No,3
BLK-000066,2026-09-03,COR-001,SEC-0006,600,720,120,Yes,Planned,No,3
BLK-000067,2026-09-03,COR-001,SEC-0006,720,840,120,Yes,Planned,No,3
BLK-000068,2026-09-03,COR-001,SEC-0006,840,960,120,Yes,Routine,No,2
BLK-000069,2026-09-03,COR-001,SEC-0006,960,1080,120,Yes,Planned,No,1
BLK-000070,2026-09-03,COR-001,SEC-0006,1080,1200,120,Yes,Routine,No,3
BLK-000071,2026-09-03,COR-001,SEC-0006,1200,1320,120,Yes,Routine,Yes,2
BLK-000072,2026-09-03,COR-001,SEC-0006,1320,1440,120,Yes,Planned,Yes,3
BLK-000073,2026-09-03,COR-001,SEC-0007,0,120,120,Yes,Planned,Yes,3
BLK-000074,2026-09-03,COR-001,SEC-0007,120,240,120,Yes,Planned,Yes,2
BLK-000075,2026-09-03,COR-001,SEC-0007,240,360,120,Yes,Routine,Yes,1
BLK-000076,2026-09-03,COR-001,SEC-0007,360,480,120,Yes,Planned,No,3
BLK-000077,2026-09-03,COR-001,SEC-0007,480,600,120,Yes,Planned,No,2
BLK-000078,2026-09-03,COR-001,SEC-0007,600,720,120,No,Routine,No,1
BLK-000079,2026-09-03,COR-001,SEC-0007,720,840,120,Yes,Routine,No,2
BLK-000080,2026-09-03,COR-001,SEC-0007,840,960,120,No,Planned,No,1
BLK-000081,2026-09-03,COR-001,SEC-0007,960,1080,120,Yes,Routine,No,3
BLK-000082,2026-09-03,COR-001,SEC-0007,1080,1200,120,Yes,Emergency Reserve,No,2
BLK-000083,2026-09-03,COR-001,SEC-0007,1200,1320,120,Yes,Planned,Yes,3
BLK-000084,2026-09-03,COR-001,SEC-0007,1320,1440,120,Yes,Emergency Reserve,Yes,1
BLK-000085,2026-09-03,COR-001,SEC-0008,0,120,120,Yes,Routine,Yes,3
BLK-000086,2026-09-03,COR-001,SEC-0008,120,240,120,Yes,Routine,Yes,2
BLK-000087,2026-09-03,COR-001,SEC-0008,240,360,120,Yes,Planned,Yes,1
BLK-000088,2026-09-03,COR-001,SEC-0008,360,480,120,Yes,Routine,No,3
BLK-000089,2026-09-03,COR-001,SEC-0008,480,600,120,Yes,Planned,No,2
BLK-000090,2026-09-03,COR-001,SEC-0008,600,720,120,No,Planned,No,1
BLK-000091,2026-09-03,COR-001,SEC-0008,720,840,120,Yes,Planned,No,2
BLK-000092,2026-09-03,COR-001,SEC-0008,840,960,120,Yes,Routine,No,3
BLK-000093,2026-09-03,COR-001,SEC-0008,960,1080,120,No,Planned,No,3
BLK-000094,2026-09-03,COR-001,SEC-0008,1080,1200,120,Yes,Planned,No,1
BLK-000095,2026-09-03,COR-001,SEC-0008,1200,1320,120,Yes,Planned,Yes,2
BLK-000096,2026-09-03,COR-001,SEC-0008,1320,1440,120,Yes,Routine,Yes,2
BLK-000097,2026-09-03,COR-001,SEC-0009,0,120,120,Yes,Routine,Yes,3
BLK-000098,2026-09-03,COR-001,SEC-0009,120,240,120,Yes,Planned,Yes,2
BLK-000099,2026-09-03,COR-001,SEC-0009,240,360,120,No,Planned,Yes,1
BLK-000100,2026-09-03,COR-001,SEC-0009,360,480,120,Yes,Planned,No,1
BLK-000101,2026-09-03,COR-001,SEC-0009,480,600,120,Yes,Planned,No,1
BLK-000102,2026-09-03,COR-001,SEC-0009,600,720,120,No,Planned,No,2
BLK-000103,2026-09-03,COR-001,SEC-0009,720,840,120,Yes,Routine,No,2
BLK-000104,2026-09-03,COR-001,SEC-0009,840,960,120,Yes,Emergency Reserve,No,1
BLK-000105,2026-09-03,COR-001,SEC-0009,960,1080,120,Yes,Planned,No,2
BLK-000106,2026-09-03,COR-001,SEC-0009,1080,1200,120,Yes,Emergency Reserve,No,2
BLK-000107,2026-09-03,COR-001,SEC-0009,1200,1320,120,Yes,Planned,Yes,3
BLK-000108,2026-09-03,COR-001,SEC-0009,1320,1440,120,No,Planned,Yes,1
BLK-000109,2026-09-03,COR-001,SEC-0010,0,120,120,Yes,Planned,Yes,2
BLK-000110,2026-09-03,COR-001,SEC-0010,120,240,120,Yes,Planned,Yes,1
BLK-000111,2026-09-03,COR-001,SEC-0010,240,360,120,Yes,Planned,Yes,1
BLK-000112,2026-09-03,COR-001,SEC-0010,360,480,120,Yes,Planned,No,1
BLK-000113,2026-09-03,COR-001,SEC-0010,480,600,120,Yes,Planned,No,3
BLK-000114,2026-09-03,COR-001,SEC-0010,600,720,120,Yes,Routine,No,1
BLK-000115,2026-09-03,COR-001,SEC-0010,720,840,120,Yes,Emergency Reserve,No,2
BLK-000116,2026-09-03,COR-001,SEC-0010,840,960,120,Yes,Planned,No,1
BLK-000117,2026-09-03,COR-001,SEC-0010,960,1080,120,Yes,Planned,No,1
BLK-000118,2026-09-03,COR-001,SEC-0010,1080,1200,120,No,Routine,No,1
BLK-000119,2026-09-03,COR-001,SEC-0010,1200,1320,120,Yes,Routine,Yes,1
BLK-000120,2026-09-03,COR-001,SEC-0010,1320,1440,120,Yes,Planned,Yes,2
BLK-000121,2026-09-03,COR-002,SEC-0011,0,120,120,Yes,Planned,Yes,1
BLK-000122,2026-09-03,COR-002,SEC-0011,120,240,120,No,Routine,Yes,2
BLK-000123,2026-09-03,COR-002,SEC-0011,240,360,120,Yes,Planned,Yes,2
BLK-000124,2026-09-03,COR-002,SEC-0011,360,480,120,No,Routine,No,1
BLK-000125,2026-09-03,COR-002,SEC-0011,480,600,120,No,Planned,No,2
BLK-000126,2026-09-03,COR-002,SEC-0011,600,720,120,Yes,Planned,No,1
BLK-000127,2026-09-03,COR-002,SEC-0011,720,840,120,No,Routine,No,2
BLK-000128,2026-09-03,COR-002,SEC-0011,840,960,120,Yes,Planned,No,1
BLK-000129,2026-09-03,COR-002,SEC-0011,960,1080,120,Yes,Planned,No,3
BLK-000130,2026-09-03,COR-002,SEC-0011,1080,1200,120,Yes,Planned,No,1
BLK-000131,2026-09-03,COR-002,SEC-0011,1200,1320,120,No,Emergency Reserve,Yes,1
BLK-000132,2026-09-03,COR-002,SEC-0011,1320,1440,120,Yes,Planned,Yes,3
