train_id,block_id,conflict_type,priority_class,passenger_load_percent
TRN-00001,BLK-013503,Track Occupied,2,85.8
TRN-00002,BLK-011624,Track Occupied,3,80.3
TRN-00003,BLK-020316,Track Occupied,3,75.8
TRN-00004,BLK-006203,Track Occupied,3,71.5
TRN-00005,BLK-020057,Track Occupied,2,64.7
TRN-00006,BLK-005652,Track Occupied,3,74.6
TRN-00007,BLK-027671,Track Occupied,2,48.3
TRN-00008,BLK-006658,Track Occupied,1,56.2
TRN-00009,BLK-005191,Track Occupied,3,76.7
TRN-00010,BLK-010193,Track Occupied,1,48.9
TRN-00011,BLK-015402,Track Occupied,1,57.3
TRN-00012,BLK-019434,Track Occupied,3,51.1
TRN-00013,BLK-022082,Track Occupied,1,18.8
TRN-00014,BLK-032232,Track Occupied,3,71.3
TRN-00015,BLK-012807,Track Occupied,2,79.5
TRN-00016,BLK-021730,Track Occupied,2,99.0
TRN-00016,BLK-021731,Track Occupied,2,99.0
TRN-00017,BLK-024543,Track Occupied,2,62.7
TRN-00018,BLK-024750,Track Occupied,3,69.9
TRN-00019,BLK-007375,Track Occupied,3,76.9
TRN-00020,BLK-032956,Track Occupied,2,62.1
TRN-00021,BLK-030733,Track Occupied,2,80.1
TRN-00022,BLK-021505,Track Occupied,3,37.0
TRN-00023,BLK-031425,Track Occupied,2,81.3
TRN-00024,BLK-006700,Track Occupied,3,50.9
TRN-00025,BLK-015740,Track Occupied,3,87.8
TRN-00026,BLK-023818,Track Occupied,2,65.8
TRN-00027,BLK-008432,Track Occupied,3,75.2
TRN-00028,BLK-017261,Track Occupied,2,73.3
TRN-00029,BLK-027643,Track Occupied,2,80.7
TRN-00030,BLK-025008,Track Occupied,2,71.4
TRN-00031,BLK-008703,Track Occupied,3,67.2
TRN-00032,BLK-013588,Track Occupied,2,62.2
TRN-00033,BLK-013447,Track Occupied,1,59.4
TRN-00034,BLK-000386,Track Occupied,1,40.4
TRN-00035,BLK-004797,Track Occupied,2,75.5
TRN-00036,BLK-022001,Track Occupied,2,72.9
TRN-00037,BLK-002861,Track Occupied,2,78.6
TRN-00038,BLK-021653,Track Occupied,2,69.0
TRN-00038,BLK-021654,Track Occupied,2,69.0
TRN-00039,BLK-022531,Track Occupied,3,62.9
TRN-00040,BLK-023594,Track Occupied,1,23.6
TRN-00041,BLK-028915,Track Occupied,3,74.3
