feature,importance
wear_index_percent,23.385713093779227
fault_count_30d,11.179763785947747
traffic_load_trains_per_day,7.842334097371846
inspection_score,7.77017213881532
rail_wear_mm,7.322323359672206
asset_age_years,6.13057485448686
track_vibration_level,5.301025502020441
days_since_last_maintenance,4.170058452411674
signal_health_score,3.810738326521384
line_voltage_kv,2.2443305655880703
department,2.2044631281485145
relay_fault_count,2.1643578550833174
fault_count_90d,2.078677453277727
rainfall_mm,2.0652909232173964
asset_type,1.8978116141905768
ballast_condition_score,1.6191522936980873
brake_wear_percent,1.048734701129277
section_id,0.9485250144115246
humidity_percent,0.9315389747950361
ohe_wear_percent,0.9224115953055328
obs_dayofweek,0.7901029275459368
ambient_temperature_c,0.772610954889538
wind_speed_kmph,0.7555699370184976
obs_hour,0.7482988259129625
obs_month,0.7174618291665711
region,0.3446534887309769
corridor_id,0.32411949443069116
bearing_temperature_c,0.268139904460549
wheel_wear_percent,0.24104490797252254
