date,corridor_id,corridor_name,freight_demand_index,expected_freight_trains
2026-09-03,COR-001,Delhi–Agra,78.8,10
2026-09-03,COR-002,Agra–Jhansi,60.1,11
2026-09-03,COR-003,Delhi–Ambala,31.5,3
2026-09-03,COR-004,Mumbai–Surat,45.6,3
2026-09-03,COR-005,Surat–Vadodara,69.0,7
2026-09-03,COR-006,Vadodara–Ahmedabad,49.5,3
2026-09-03,COR-007,Mumbai–Pune,47.9,5
2026-09-03,COR-008,Bhopal–Itarsi,74.2,11
2026-09-03,COR-009,Itarsi–Nagpur,41.1,3
2026-09-03,COR-010,Howrah–Dhanbad,53.4,10
2026-09-03,COR-011,Dhanbad–Gaya,80.3,13
2026-09-03,COR-012,Chennai–Arakkonam,82.0,9
2026-09-03,COR-013,Bengaluru–Mysuru,70.8,8
2026-09-03,COR-014,Hyderabad–Secunderabad,41.2,5
2026-09-03,COR-015,Vijayawada–Warangal,40.8,6
2026-09-03,COR-016,Lucknow–Kanpur,30.1,3
2026-09-03,COR-017,Jaipur–Ajmer,44.8,5
2026-09-03,COR-018,Patna–Mughalsarai,40.9,5
2026-09-03,COR-019,Bhubaneswar–Cuttack,22.6,2
2026-09-03,COR-020,Kolkata–Asansol,60.2,6
2026-09-04,COR-001,Delhi–Agra,70.1,7
2026-09-04,COR-002,Agra–Jhansi,37.5,2
2026-09-04,COR-003,Delhi–Ambala,48.5,4
2026-09-04,COR-004,Mumbai–Surat,43.5,4
2026-09-04,COR-005,Surat–Vadodara,50.0,8
2026-09-04,COR-006,Vadodara–Ahmedabad,63.6,11
2026-09-04,COR-007,Mumbai–Pune,47.2,10
2026-09-04,COR-008,Bhopal–Itarsi,68.4,8
2026-09-04,COR-009,Itarsi–Nagpur,66.6,5
2026-09-04,COR-010,Howrah–Dhanbad,21.9,1
2026-09-04,COR-011,Dhanbad–Gaya,53.6,6
2026-09-04,COR-012,Chennai–Arakkonam,57.9,10
2026-09-04,COR-013,Bengaluru–Mysuru,44.0,7
2026-09-04,COR-014,Hyderabad–Secunderabad,63.4,7
2026-09-04,COR-015,Vijayawada–Warangal,47.3,9
2026-09-04,COR-016,Lucknow–Kanpur,70.4,6
2026-09-04,COR-017,Jaipur–Ajmer,67.7,5
2026-09-04,COR-018,Patna–Mughalsarai,63.5,10
2026-09-04,COR-019,Bhubaneswar–Cuttack,50.1,7
2026-09-04,COR-020,Kolkata–Asansol,31.5,1
2026-09-05,COR-001,Delhi–Agra,24.7,2
2026-09-05,COR-002,Agra–Jhansi,53.3,9
2026-09-05,COR-003,Delhi–Ambala,39.5,3
2026-09-05,COR-004,Mumbai–Surat,54.0,9
2026-09-05,COR-005,Surat–Vadodara,72.9,8
2026-09-05,COR-006,Vadodara–Ahmedabad,40.7,7
2026-09-05,COR-007,Mumbai–Pune,51.1,3
2026-09-05,COR-008,Bhopal–Itarsi,74.8,9
2026-09-05,COR-009,Itarsi–Nagpur,57.0,8
2026-09-05,COR-010,Howrah–Dhanbad,32.8,4
2026-09-05,COR-011,Dhanbad–Gaya,19.1,1
2026-09-05,COR-012,Chennai–Arakkonam,44.3,6
2026-09-05,COR-013,Bengaluru–Mysuru,49.7,9
2026-09-05,COR-014,Hyderabad–Secunderabad,70.2,7
2026-09-05,COR-015,Vijayawada–Warangal,47.5,7
2026-09-05,COR-016,Lucknow–Kanpur,62.1,5
2026-09-05,COR-017,Jaipur–Ajmer,52.5,8
2026-09-05,COR-018,Patna–Mughalsarai,60.2,6
2026-09-05,COR-019,Bhubaneswar–Cuttack,72.2,8
2026-09-05,COR-020,Kolkata–Asansol,62.5,6
2026-09-06,COR-001,Delhi–Agra,60.2,5
2026-09-06,COR-002,Agra–Jhansi,58.9,4
2026-09-06,COR-003,Delhi–Ambala,43.1,7
2026-09-06,COR-004,Mumbai–Surat,43.2,6
2026-09-06,COR-005,Surat–Vadodara,41.4,6
2026-09-06,COR-006,Vadodara–Ahmedabad,51.5,4
2026-09-06,COR-007,Mumbai–Pune,29.2,2
2026-09-06,COR-008,Bhopal–Itarsi,50.8,4
2026-09-06,COR-009,Itarsi–Nagpur,63.0,7
2026-09-06,COR-010,Howrah–Dhanbad,18.8,1
2026-09-06,COR-011,Dhanbad–Gaya,56.1,5
2026-09-06,COR-012,Chennai–Arakkonam,52.1,4
2026-09-06,COR-013,Bengaluru–Mysuru,67.2,9
2026-09-06,COR-014,Hyderabad–Secunderabad,13.8,1
2026-09-06,COR-015,Vijayawada–Warangal,33.1,1
2026-09-06,COR-016,Lucknow–Kanpur,69.7,8
2026-09-06,COR-017,Jaipur–Ajmer,65.4,11
2026-09-06,COR-018,Patna–Mughalsarai,51.4,8
2026-09-06,COR-019,Bhubaneswar–Cuttack,53.3,6
2026-09-06,COR-020,Kolkata–Asansol,65.5,6
2026-09-07,COR-001,Delhi–Agra,64.0,8
2026-09-07,COR-002,Agra–Jhansi,73.0,7
2026-09-07,COR-003,Delhi–Ambala,59.3,8
2026-09-07,COR-004,Mumbai–Surat,36.7,1
2026-09-07,COR-005,Surat–Vadodara,42.4,7
2026-09-07,COR-006,Vadodara–Ahmedabad,14.1,2
2026-09-07,COR-007,Mumbai–Pune,58.9,9
2026-09-07,COR-008,Bhopal–Itarsi,45.0,8
2026-09-07,COR-009,Itarsi–Nagpur,55.8,10
2026-09-07,COR-010,Howrah–Dhanbad,40.7,1
2026-09-07,COR-011,Dhanbad–Gaya,80.8,8
2026-09-07,COR-012,Chennai–Arakkonam,53.0,10
2026-09-07,COR-013,Bengaluru–Mysuru,40.6,5
2026-09-07,COR-014,Hyderabad–Secunderabad,34.1,5
2026-09-07,COR-015,Vijayawada–Warangal,70.4,8
2026-09-07,COR-016,Lucknow–Kanpur,41.2,7
2026-09-07,COR-017,Jaipur–Ajmer,64.1,11
2026-09-07,COR-018,Patna–Mughalsarai,55.5,10
2026-09-07,COR-019,Bhubaneswar–Cuttack,78.9,11
2026-09-07,COR-020,Kolkata–Asansol,45.9,4
2026-09-08,COR-001,Delhi–Agra,72.5,11
2026-09-08,COR-002,Agra–Jhansi,89.6,13
2026-09-08,COR-003,Delhi–Ambala,19.1,2
2026-09-08,COR-004,Mumbai–Surat,78.8,11
