task_id,asset_id,department,maintenance_type,corridor_id,section_id,task_date,deadline,risk_score,priority_score,required_duration_minutes,required_team_size,preferred_start_minute,max_delay_tolerance_minutes,can_bundle
TASK-000001,AST-081890,Track / Civil Engineering,Rail Inspection,COR-015,SEC-0150,2027-05-10,2027-05-13,99.0,86.6,125,2,1380,30,Yes
TASK-000002,AST-017875,Mechanical / Rolling Stock,Bearing Inspection,COR-009,SEC-0088,2025-07-08,2025-07-18,63.8,47.5,112,4,146,15,Yes
TASK-000003,AST-121290,Track / Civil Engineering,Rail Inspection,COR-020,SEC-0197,2028-06-27,2028-06-29,80.9,67.9,196,5,120,15,No
TASK-000004,AST-006730,Track / Civil Engineering,Bridge Inspection,COR-013,SEC-0128,2025-03-13,2025-03-20,74.5,66.9,202,2,180,30,No
TASK-000005,AST-092006,Track / Civil Engineering,Rail Grinding,COR-005,SEC-0045,2027-08-22,2027-08-23,77.4,67.5,200,5,0,15,Yes
TASK-000006,AST-015608,Electrical / TRD,Substation Maintenance,COR-020,SEC-0198,2025-06-22,2025-06-29,54.2,41.6,108,5,27,30,Yes
TASK-000007,AST-081812,Track / Civil Engineering,Turnout Maintenance,COR-011,SEC-0105,2027-05-16,2027-05-18,70.8,61.2,251,4,1008,120,No
TASK-000008,AST-039133,Mechanical / Rolling Stock,Wheelset Inspection,COR-007,SEC-0064,2026-02-21,2026-02-24,75.7,61.7,76,4,120,15,No
TASK-000009,AST-054986,Track / Civil Engineering,Turnout Maintenance,COR-014,SEC-0134,2026-08-02,2026-08-12,66.6,46.3,156,5,245,0,No
TASK-000010,AST-128627,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-003,SEC-0022,2028-09-03,2028-09-13,70.7,63.6,79,4,584,60,Yes
TASK-000011,AST-135448,Track / Civil Engineering,Turnout Maintenance,COR-004,SEC-0031,2028-11-16,2028-11-23,99.0,90.2,109,2,60,30,Yes
TASK-000012,AST-089574,Track / Civil Engineering,Turnout Maintenance,COR-001,SEC-0008,2027-07-31,2027-08-14,97.0,95.7,125,4,576,120,No
TASK-000013,AST-144496,Electrical / TRD,Substation Maintenance,COR-012,SEC-0119,2029-02-21,2029-02-23,71.6,64.0,188,3,120,60,Yes
TASK-000014,AST-142358,Electrical / TRD,Substation Maintenance,COR-012,SEC-0120,2029-01-31,2029-02-01,49.1,40.3,136,4,63,30,Yes
TASK-000015,AST-089386,Track / Civil Engineering,Bridge Inspection,COR-012,SEC-0115,2027-08-01,2027-08-02,86.9,82.4,152,3,1380,0,Yes
TASK-000016,AST-011703,Track / Civil Engineering,Rail Grinding,COR-012,SEC-0117,2025-05-16,2025-05-21,93.6,89.4,144,4,940,30,Yes
TASK-000017,AST-083400,Track / Civil Engineering,Ballast Tamping,COR-001,SEC-0008,2027-05-25,2027-05-30,71.2,57.3,169,2,180,30,Yes
TASK-000018,AST-005848,Track / Civil Engineering,Bridge Inspection,COR-009,SEC-0087,2025-03-03,2025-03-04,82.2,71.2,147,6,289,60,No
TASK-000019,AST-020155,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-016,SEC-0154,2025-08-01,2025-08-06,79.7,74.2,104,4,180,60,Yes
