train_id,block_id,train_priority_class,passenger_load_percent,conflict_type
TRN-00001,BLK-013503,2,85.8,Track Occupied
TRN-00002,BLK-011624,3,80.3,Track Occupied
TRN-00003,BLK-020316,3,75.8,Track Occupied
TRN-00004,BLK-006203,3,71.5,Track Occupied
TRN-00005,BLK-020057,2,64.7,Track Occupied
TRN-00006,BLK-005652,3,74.6,Track Occupied
TRN-00007,BLK-027671,2,48.3,Track Occupied
TRN-00008,BLK-006658,1,56.2,Track Occupied
TRN-00009,BLK-005191,3,76.7,Track Occupied
TRN-00010,BLK-010193,1,48.9,Track Occupied
TRN-00011,BLK-015402,1,57.3,Track Occupied
TRN-00012,BLK-019434,3,51.1,Track Occupied
TRN-00013,BLK-022082,1,18.8,Track Occupied
TRN-00014,BLK-032232,3,71.3,Track Occupied
TRN-00015,BLK-012807,2,79.5,Track Occupied
TRN-00016,BLK-021730,2,99.0,Track Occupied
TRN-00016,BLK-021731,2,99.0,Track Occupied
TRN-00017,BLK-024543,2,62.7,Track Occupied
TRN-00018,BLK-024750,3,69.9,Track Occupied
TRN-00019,BLK-007375,3,76.9,Track Occupied
TRN-00020,BLK-032956,2,62.1,Track Occupied
TRN-00021,BLK-030733,2,80.1,Track Occupied
TRN-00022,BLK-021505,3,37.0,Track Occupied
TRN-00023,BLK-031425,2,81.3,Track Occupied
TRN-00024,BLK-006700,3,50.9,Track Occupied
TRN-00025,BLK-015740,3,87.8,Track Occupied
TRN-00026,BLK-023818,2,65.8,Track Occupied
TRN-00027,BLK-008432,3,75.2,Track Occupied
TRN-00028,BLK-017261,2,73.3,Track Occupied
TRN-00029,BLK-027643,2,80.7,Track Occupied
TRN-00030,BLK-025008,2,71.4,Track Occupied
TRN-00031,BLK-008703,3,67.2,Track Occupied
TRN-00032,BLK-013588,2,62.2,Track Occupied
TRN-00033,BLK-013447,1,59.4,Track Occupied
TRN-00034,BLK-000386,1,40.4,Track Occupied
TRN-00035,BLK-004797,2,75.5,Track Occupied
TRN-00036,BLK-022001,2,72.9,Track Occupied
TRN-00037,BLK-002861,2,78.6,Track Occupied
TRN-00038,BLK-021653,2,69.0,Track Occupied
TRN-00038,BLK-021654,2,69.0,Track Occupied
TRN-00039,BLK-022531,3,62.9,Track Occupied
TRN-00040,BLK-023594,1,23.6,Track Occupied
TRN-00041,BLK-028915,3,74.3,Track Occupied
TRN-00042,BLK-009103,3,68.5,Track Occupied
TRN-00043,BLK-011421,2,57.9,Track Occupied
TRN-00044,BLK-012729,2,71.1,Track Occupied
TRN-00045,BLK-010478,1,51.4,Track Occupied
TRN-00046,BLK-007666,3,74.2,Track Occupied
TRN-00047,BLK-013619,1,29.1,Track Occupied
TRN-00048,BLK-009212,3,74.5,Track Occupied
TRN-00049,BLK-001088,2,80.8,Track Occupied
TRN-00050,BLK-019970,3,64.8,Track Occupied
TRN-00051,BLK-018097,3,98.1,Track Occupied
TRN-00051,BLK-018098,3,98.1,Track Occupied
TRN-00052,BLK-031630,1,62.7,Track Occupied
TRN-00053,BLK-025016,1,48.0,Track Occupied
TRN-00054,BLK-025438,2,56.8,Track Occupied
TRN-00055,BLK-010964,1,38.9,Track Occupied
TRN-00056,BLK-001829,1,41.8,Track Occupied
TRN-00057,BLK-011840,2,84.4,Track Occupied
TRN-00058,BLK-017154,3,84.4,Track Occupied
