date,region,rainfall_forecast_mm,temperature_c,humidity_percent,wind_speed_kmph,weather_risk_level
2026-09-03,Northern,7.0,30.2,57.3,26.0,Moderate
2026-09-03,Western,2.0,17.3,60.3,33.4,Low
2026-09-03,Central,14.5,21.2,65.7,19.3,Moderate
2026-09-03,Eastern,14.0,37.1,57.7,22.0,Moderate
2026-09-03,Southern,10.8,37.8,54.1,14.9,Moderate
2026-09-03,North Central,7.3,37.6,58.5,23.0,Moderate
2026-09-03,South Central,5.9,34.9,70.3,12.7,Moderate
2026-09-04,Northern,8.0,21.5,95.0,18.6,Moderate
2026-09-04,Western,21.0,25.4,56.6,21.2,High
2026-09-04,Central,9.1,23.0,83.7,24.5,Moderate
2026-09-04,Eastern,11.6,35.1,53.3,7.2,Moderate
2026-09-04,Southern,1.6,25.8,63.5,9.1,Low
2026-09-04,North Central,1.2,28.0,59.4,29.9,Low
2026-09-04,South Central,10.7,28.8,63.9,8.7,Moderate
2026-09-05,Northern,3.2,31.8,80.8,25.0,Low
2026-09-05,Western,15.8,27.8,71.3,18.9,High
2026-09-05,Central,2.8,30.5,78.6,23.6,Low
2026-09-05,Eastern,6.5,28.6,62.9,17.6,Moderate
2026-09-05,Southern,1.6,32.3,81.9,22.0,Low
2026-09-05,North Central,1.5,30.6,77.8,22.2,Low
2026-09-05,South Central,9.4,32.8,94.9,19.1,Moderate
2026-09-06,Northern,4.9,25.7,58.2,17.3,Low
2026-09-06,Western,3.5,22.1,62.1,18.0,Low
2026-09-06,Central,7.6,15.7,25.0,12.6,Moderate
2026-09-06,Eastern,3.9,18.8,57.3,6.0,Low
2026-09-06,Southern,2.0,30.4,47.9,18.6,Low
2026-09-06,North Central,0.7,25.9,67.1,27.3,Low
2026-09-06,South Central,4.2,27.4,43.9,20.9,Low
2026-09-07,Northern,11.4,28.1,49.2,14.7,Moderate
2026-09-07,Western,4.0,28.7,49.3,22.4,Low
2026-09-07,Central,12.8,28.1,95.0,27.5,Moderate
2026-09-07,Eastern,4.3,31.6,65.2,20.5,Low
2026-09-07,Southern,16.4,28.7,79.0,14.2,High
2026-09-07,North Central,14.8,37.1,69.1,7.4,Moderate
2026-09-07,South Central,5.0,19.1,77.7,20.1,Low
